timestamp,symbol,ob_signal,ob_confidence,bid_ask_ratio,spread_pct,bid_wall_conc,ask_wall_conc,indicator_filter_passed,filter_reason,rsi,ema_fast,ema_slow,atr,volume_ratio
2026-06-01 01:18:28 UTC,ETHUSDT,SHORT,HIGH,0.5968,0.01595,0.4929,0.5004,False,EMA trend UP (fast=2009.4944 > slow=2008.6252),47.04,2009.494352,2008.625194,5.511039,0.34
2026-06-01 01:18:28 UTC,SOLUSDT,NEUTRAL,LOW,0.8344,0.03643,0.7214,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:28 UTC,ETHUSDT,SHORT,HIGH,0.5912,0.01645,0.4976,0.5004,False,EMA trend UP (fast=2009.4944 > slow=2008.6252),47.04,2009.494352,2008.625194,5.511039,0.34
2026-06-01 01:18:29 UTC,SOLUSDT,NEUTRAL,LOW,0.8353,0.03643,0.7285,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:29 UTC,ETHUSDT,SHORT,HIGH,0.5979,0.01745,0.5167,0.5004,False,EMA trend UP (fast=2009.4944 > slow=2008.6252),47.04,2009.494352,2008.625194,5.511039,0.34
2026-06-01 01:18:30 UTC,SOLUSDT,SHORT,HIGH,0.8283,0.03643,0.7346,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:30 UTC,ETHUSDT,SHORT,HIGH,0.5374,0.01944,0.5258,0.4742,False,EMA trend UP (fast=2009.4944 > slow=2008.6252),47.04,2009.494352,2008.625194,5.511039,0.34
2026-06-01 01:18:31 UTC,SOLUSDT,SHORT,HIGH,0.8283,0.03643,0.7346,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:31 UTC,ETHUSDT,SHORT,HIGH,0.5033,0.01944,0.5614,0.4742,False,EMA trend UP (fast=2009.4944 > slow=2008.6252),47.04,2009.494352,2008.625194,5.511039,0.34
2026-06-01 01:18:32 UTC,SOLUSDT,SHORT,HIGH,0.8282,0.03643,0.7345,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:32 UTC,ETHUSDT,SHORT,HIGH,0.5659,0.02044,0.521,0.4742,False,EMA trend UP (fast=2009.4944 > slow=2008.6252),47.04,2009.494352,2008.625194,5.511039,0.34
2026-06-01 01:18:32 UTC,SOLUSDT,NEUTRAL,LOW,0.8466,0.03643,0.7365,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:33 UTC,ETHUSDT,NEUTRAL,LOW,1.0263,0.02443,0.4771,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:33 UTC,SOLUSDT,SHORT,HIGH,0.821,0.03643,0.7595,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:34 UTC,ETHUSDT,NEUTRAL,LOW,1.0263,0.02443,0.4771,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:34 UTC,SOLUSDT,SHORT,HIGH,0.8168,0.03643,0.7605,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:35 UTC,ETHUSDT,NEUTRAL,LOW,1.0263,0.02443,0.4771,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:35 UTC,SOLUSDT,SHORT,HIGH,0.8168,0.03643,0.7605,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:36 UTC,ETHUSDT,NEUTRAL,LOW,0.937,0.02443,0.5184,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:36 UTC,SOLUSDT,SHORT,HIGH,0.8168,0.03643,0.7605,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:37 UTC,ETHUSDT,NEUTRAL,LOW,0.937,0.02443,0.5184,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:37 UTC,SOLUSDT,SHORT,HIGH,0.8168,0.03643,0.7605,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:37 UTC,ETHUSDT,NEUTRAL,LOW,0.8915,0.02443,0.5449,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:38 UTC,SOLUSDT,NEUTRAL,LOW,0.8495,0.03643,0.7278,0.4066,True,Balanced book,,,,,
2026-06-01 01:18:38 UTC,ETHUSDT,NEUTRAL,LOW,1.0393,0.02493,0.5639,0.4742,True,Balanced book,,,,,
2026-06-01 01:18:38 UTC,SOLUSDT,SHORT,HIGH,0.8267,0.02428,0.7478,0.4066,False,EMA trend UP (fast=82.5126 > slow=82.3542),51.49,82.512595,82.354202,0.27887,0.23
2026-06-01 01:18:39 UTC,ETHUSDT,NEUTRAL,LOW,1.0866,0.02542,0.5393,0.4742,True,Balanced book,,,,,
